locality,property_type,area_sqft,age_years,metro_km,amenities,txn_year,price
"Saket, Delhi",Flat / Apartment,1402.0,9,1.4,"parking, park-facing, gym, security, club",2021,20366000.0
"Lajpat Nagar, Delhi",Builder Floor,1065.0,11,1.2,"lift, park-facing, gym, power backup",2023,15196000.0
"Rohini, Delhi",Flat / Apartment,803.0,29,3.4,"security, power backup",2019,3028000.0
"Dwarka, Delhi",Villa,1583.0,14,1.4,"lift, gym",2018,10620000.0
"Dwarka, Delhi",Flat / Apartment,1155.0,6,0.1,"park-facing, gym, security, power backup",2023,9022000.0
"Indirapuram, Ghaziabad",Villa,1545.0,1,2.7,"parking, gym, security, club",2018,9417000.0
"Sector 62, Noida",Flat / Apartment,1471.0,5,6.1,"lift, parking, park-facing, gym, club",2022,9827000.0
"Sector 62, Noida",Flat / Apartment,1099.0,7,0.2,"parking, park-facing, security, club",2018,6293000.0
"Pitampura, Delhi",Flat / Apartment,1783.0,9,3.3,"parking, park-facing, security, power backup, club",2019,11502000.0
"Sector 62, Noida",Flat / Apartment,1033.0,4,4.4,"parking, gym, security",2022,5909000.0
"Saket, Delhi",Villa,1836.0,22,1.6,"gym, security",2023,35525000.0
Greater Noida West,Independent House,1895.0,11,3.0,"lift, parking, park-facing",2018,6785000.0
"Pitampura, Delhi",Villa,1773.0,7,2.6,"power backup, club",2022,17689000.0
"Sector 15, Faridabad",Villa,1219.0,15,3.6,"parking, park-facing, gym",2018,6150000.0
"Dwarka, Delhi",Builder Floor,2446.0,9,1.7,"gym, power backup",2020,14886000.0
"Pitampura, Delhi",Flat / Apartment,1368.0,20,1.7,"park-facing, security, club",2023,9932000.0
"Sector 62, Noida",Independent House,1408.0,15,3.0,"lift, parking, park-facing",2023,10260000.0
"Pitampura, Delhi",Flat / Apartment,1290.0,27,2.4,"lift, park-facing, power backup, club",2021,7783000.0
"Janakpuri, Delhi",Independent House,792.0,19,4.8,"parking, park-facing, security",2021,7624000.0
"Saket, Delhi",Flat / Apartment,1883.0,11,2.5,"lift, parking, gym, club",2019,21783000.0
"Lajpat Nagar, Delhi",Builder Floor,1042.0,4,3.1,lift,2021,11810000.0
"Vasant Kunj, Delhi",Flat / Apartment,1714.0,3,1.8,"parking, park-facing, security, power backup, club",2018,21856000.0
"Vasant Kunj, Delhi",Flat / Apartment,1822.0,19,1.8,gym,2018,14188000.0
"Sector 56, Gurugram",Flat / Apartment,1571.0,0,3.9,"parking, gym, security",2019,12303000.0
"Sector 56, Gurugram",Flat / Apartment,989.0,11,4.2,,2023,8234000.0
"Mayur Vihar, Delhi",Flat / Apartment,1147.0,0,0.7,gym,2020,7833000.0
"Lajpat Nagar, Delhi",Flat / Apartment,350.0,10,2.0,,2019,2730000.0
"Sector 15, Faridabad",Flat / Apartment,1248.0,26,3.1,"parking, security",2018,3036000.0
"Dwarka, Delhi",Builder Floor,1661.0,2,0.2,"lift, power backup",2020,10586000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1193.0,29,2.0,,2021,9213000.0
"Dwarka, Delhi",Independent House,1034.0,29,7.9,"park-facing, club",2023,6475000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1166.0,25,1.2,"lift, parking, gym, security, power backup, club",2019,10582000.0
"Sector 15, Faridabad",Builder Floor,1847.0,20,1.1,lift,2018,5618000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1276.0,5,2.2,"park-facing, gym, power backup, club",2018,10737000.0
Greater Noida West,Flat / Apartment,2136.0,2,2.4,"park-facing, gym, power backup, club",2024,10200000.0
"Pitampura, Delhi",Builder Floor,1043.0,27,1.9,power backup,2024,7391000.0
"Sector 62, Noida",Builder Floor,1398.0,10,4.3,lift,2020,7843000.0
"Janakpuri, Delhi",Flat / Apartment,1105.0,13,0.4,"lift, park-facing, security, power backup",2020,8941000.0
"Vasant Kunj, Delhi",Flat / Apartment,2234.0,2,1.1,"lift, security, club",2020,31920000.0
"Sector 62, Noida",Flat / Apartment,1381.0,1,2.0,"lift, power backup",2018,6591000.0
"Sector 15, Faridabad",Flat / Apartment,2258.0,16,4.9,"lift, parking, park-facing, gym",2022,9024000.0
"Vasant Kunj, Delhi",Flat / Apartment,1111.0,12,1.5,"lift, gym, security, power backup, club",2024,17874000.0
"Indirapuram, Ghaziabad",Builder Floor,1987.0,21,1.0,"parking, security, power backup, club",2020,9300000.0
"Vasant Kunj, Delhi",Flat / Apartment,1353.0,25,0.3,"parking, security, club",2019,15421000.0
"Sector 62, Noida",Independent House,1676.0,1,0.9,lift,2019,10771000.0
"Indirapuram, Ghaziabad",Flat / Apartment,751.0,29,0.4,"lift, gym, power backup",2019,2337000.0
"Janakpuri, Delhi",Flat / Apartment,1457.0,27,1.4,"parking, park-facing, power backup",2019,8470000.0
"Sector 62, Noida",Flat / Apartment,819.0,17,3.4,"park-facing, gym, security, club",2023,5027000.0
"Vasant Kunj, Delhi",Flat / Apartment,1416.0,11,3.0,"parking, park-facing, security",2020,17836000.0
"Dwarka, Delhi",Flat / Apartment,617.0,4,3.5,"park-facing, security",2021,3945000.0
"Dwarka, Delhi",Independent House,1258.0,7,0.8,"park-facing, power backup, club",2024,11341000.0
"Janakpuri, Delhi",Independent House,1793.0,21,0.5,"lift, gym, security, club",2020,18153000.0
Greater Noida West,Flat / Apartment,1546.0,3,2.9,"parking, gym, security",2018,4513000.0
"Dwarka, Delhi",Flat / Apartment,745.0,28,4.0,"parking, gym, power backup",2019,3334000.0
"Janakpuri, Delhi",Independent House,446.0,4,2.2,"park-facing, security, power backup, club",2024,5490000.0
"Sector 62, Noida",Flat / Apartment,1524.0,22,3.0,"parking, club",2022,8789000.0
"Saket, Delhi",Flat / Apartment,2012.0,25,2.1,"gym, power backup",2022,21816000.0
"Sector 62, Noida",Independent House,866.0,8,1.6,"parking, park-facing, security",2018,5594000.0
"Vasant Kunj, Delhi",Flat / Apartment,2244.0,14,1.8,"parking, club",2022,32450000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1297.0,17,4.0,security,2018,4254000.0
"Mayur Vihar, Delhi",Flat / Apartment,419.0,23,2.1,"lift, parking, power backup",2023,3328000.0
"Mayur Vihar, Delhi",Builder Floor,598.0,1,4.0,"lift, park-facing, gym, security, power backup",2020,4949000.0
"Saket, Delhi",Flat / Apartment,1646.0,6,2.5,"parking, park-facing",2018,18061000.0
"Pitampura, Delhi",Builder Floor,1358.0,4,1.4,"lift, parking, power backup",2024,13851000.0
Greater Noida West,Flat / Apartment,1967.0,9,3.1,gym,2024,6938000.0
"Rohini, Delhi",Flat / Apartment,761.0,20,2.2,security,2022,3672000.0
"Sector 62, Noida",Flat / Apartment,1353.0,12,4.6,"lift, parking, gym, security, club",2023,8156000.0
"Pitampura, Delhi",Independent House,1303.0,14,1.1,"lift, gym, security, club",2021,11097000.0
"Sector 62, Noida",Flat / Apartment,1236.0,13,0.4,"lift, parking, club",2023,7033000.0
"Sector 56, Gurugram",Builder Floor,1128.0,0,3.4,"lift, gym, security, power backup",2019,8840000.0
"Janakpuri, Delhi",Flat / Apartment,1137.0,2,5.3,"lift, park-facing, security",2020,9467000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1379.0,6,4.0,"parking, park-facing, gym, security, club",2024,15640000.0
"Sector 56, Gurugram",Flat / Apartment,1436.0,1,5.6,gym,2022,13278000.0
"Dwarka, Delhi",Flat / Apartment,1414.0,24,6.4,"lift, park-facing, security",2022,8032000.0
"Mayur Vihar, Delhi",Flat / Apartment,1843.0,29,1.9,"lift, gym, security",2021,10292000.0
"Dwarka, Delhi",Independent House,759.0,14,0.9,"parking, club",2019,4987000.0
"Sector 56, Gurugram",Independent House,485.0,19,0.1,"parking, park-facing",2018,4340000.0
"Sector 56, Gurugram",Independent House,1758.0,1,0.4,"lift, park-facing, gym",2018,18905000.0
"Dwarka, Delhi",Builder Floor,875.0,1,3.3,"lift, park-facing, gym, security, power backup",2019,6081000.0
"Sector 62, Noida",Flat / Apartment,1129.0,18,0.4,"park-facing, security, power backup",2019,5909000.0
"Janakpuri, Delhi",Builder Floor,1025.0,23,2.7,"lift, gym",2023,9167000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1015.0,27,3.4,"security, club",2022,3965000.0
"Rohini, Delhi",Independent House,644.0,10,2.3,"lift, parking, park-facing, security, power backup",2021,4469000.0
"Saket, Delhi",Independent House,1044.0,12,1.7,club,2020,14518000.0
"Pitampura, Delhi",Flat / Apartment,1592.0,23,1.1,"lift, security",2019,9168000.0
"Saket, Delhi",Independent House,1298.0,4,5.8,"parking, park-facing, security, power backup, club",2022,21609000.0
"Lajpat Nagar, Delhi",Independent House,1527.0,28,1.1,"parking, park-facing, gym",2024,22749000.0
"Sector 56, Gurugram",Flat / Apartment,1077.0,8,1.7,"lift, park-facing, security",2022,9430000.0
"Dwarka, Delhi",Independent House,1706.0,0,1.6,"parking, club",2019,12312000.0
"Sector 56, Gurugram",Flat / Apartment,1071.0,23,3.6,"parking, gym",2021,7853000.0
"Dwarka, Delhi",Flat / Apartment,351.0,28,2.5,"lift, parking, power backup, club",2024,2312000.0
"Saket, Delhi",Flat / Apartment,1442.0,14,0.7,"gym, security, club",2023,18889000.0
"Mayur Vihar, Delhi",Builder Floor,1645.0,4,3.9,"park-facing, gym, security, power backup",2023,15535000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1048.0,4,1.1,"lift, parking, gym, power backup, club",2019,5027000.0
"Saket, Delhi",Villa,1840.0,8,2.7,"parking, park-facing, security",2023,41497000.0
"Vasant Kunj, Delhi",Flat / Apartment,917.0,16,5.5,"lift, parking, gym, power backup",2023,12950000.0
"Sector 15, Faridabad",Flat / Apartment,1602.0,18,1.3,"lift, park-facing, security",2021,5674000.0
"Sector 15, Faridabad",Builder Floor,2085.0,20,1.4,"park-facing, power backup, club",2024,8583000.0
"Mayur Vihar, Delhi",Flat / Apartment,1317.0,21,1.9,"lift, parking, park-facing, gym, security, power backup",2021,10035000.0
"Janakpuri, Delhi",Builder Floor,1198.0,7,2.0,"parking, security",2019,9863000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1252.0,5,2.6,"lift, security, power backup, club",2018,10275000.0
"Mayur Vihar, Delhi",Villa,2033.0,28,3.2,power backup,2019,14250000.0
"Mayur Vihar, Delhi",Builder Floor,1481.0,4,1.0,"security, power backup",2024,15074000.0
"Vasant Kunj, Delhi",Flat / Apartment,2265.0,15,2.2,"lift, parking, gym",2021,30381000.0
"Rohini, Delhi",Flat / Apartment,1426.0,8,0.9,"gym, security",2020,6632000.0
"Dwarka, Delhi",Flat / Apartment,1006.0,21,3.5,"lift, park-facing",2019,4409000.0
"Sector 15, Faridabad",Villa,1037.0,9,4.5,"lift, gym, security",2021,5354000.0
"Janakpuri, Delhi",Builder Floor,1328.0,3,1.6,parking,2024,14191000.0
"Pitampura, Delhi",Flat / Apartment,381.0,9,2.4,"lift, parking, park-facing, power backup",2018,2400000.0
"Pitampura, Delhi",Flat / Apartment,1086.0,3,5.3,"parking, security, club",2023,9161000.0
"Indirapuram, Ghaziabad",Independent House,1096.0,5,2.9,"lift, park-facing, gym, power backup",2019,5618000.0
"Rohini, Delhi",Flat / Apartment,1408.0,14,0.9,,2020,6314000.0
"Dwarka, Delhi",Builder Floor,2174.0,29,0.5,"lift, parking, gym, power backup",2024,14125000.0
